"endtime","starttime","censored","model"
18433,1349,TRUE,28
9122,1256,TRUE,28
25684,8,TRUE,28
12006,13,TRUE,28
25050,14,TRUE,28
9819,1349,TRUE,28
12294,1349,TRUE,28
17138,1133,TRUE,28
22295,1132,TRUE,28
25255,7,TRUE,28
18996,1255,TRUE,28
25257,10,TRUE,28
18194,1349,TRUE,28
20384,11,TRUE,28
18151,1322,TRUE,28
17318,1349,TRUE,28
25376,11,TRUE,28
20614,8,TRUE,28
11863,1138,TRUE,28
17717,1134,TRUE,28
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9556,128,TRUE,29
9557,128,TRUE,29
9556,128,TRUE,29
9556,128,TRUE,29
9558,128,TRUE,29
9556,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9558,128,TRUE,29
5724,12,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
9557,128,TRUE,29
6289,12,TRUE,29
1398,6,TRUE,29
9557,128,TRUE,29
7540,6,TRUE,29
7618,59,TRUE,29
7664,105,TRUE,29
7663,105,TRUE,29
7678,129,TRUE,29
7664,105,TRUE,29
7617,59,TRUE,29
7618,59,TRUE,29
7618,59,TRUE,29
7678,129,TRUE,29
7678,129,TRUE,29
7664,105,TRUE,29
7663,105,TRUE,29
7688,129,TRUE,29
7663,104,TRUE,29
7678,129,TRUE,29
7664,105,TRUE,29
7664,105,TRUE,29
7665,106,TRUE,29
7685,128,TRUE,29
7665,106,TRUE,29
7664,106,TRUE,29
7664,106,TRUE,29
7662,105,TRUE,29
7665,106,TRUE,29
7662,105,TRUE,29
7665,106,TRUE,29
7617,58,TRUE,29
7661,105,TRUE,29
7662,105,TRUE,29
7662,105,TRUE,29
7664,106,TRUE,29
7664,106,TRUE,29
7664,106,TRUE,29
7686,128,TRUE,29
7664,106,TRUE,29
7665,106,TRUE,29
7686,128,TRUE,29
7663,104,TRUE,29
7618,59,TRUE,29
7663,104,TRUE,29
7614,58,TRUE,29
7617,58,TRUE,29
7618,58,TRUE,29
7686,128,TRUE,29
634,58,FALSE,29
7617,59,TRUE,29
7614,58,TRUE,29
7049,58,TRUE,29
1951,127,FALSE,29
7618,58,TRUE,29
7665,106,TRUE,29
7617,59,TRUE,29
7664,106,TRUE,29
7665,106,TRUE,29
7615,58,TRUE,29
7617,58,TRUE,29
7664,105,TRUE,29
7686,128,TRUE,29
7664,105,TRUE,29
7663,104,TRUE,29
7687,128,TRUE,29
7663,106,TRUE,29
7663,106,TRUE,29
7664,106,TRUE,29
7685,126,TRUE,29
7663,106,TRUE,29
7664,105,TRUE,29
1376,128,FALSE,29
7616,58,TRUE,29
7617,58,TRUE,29
7615,58,TRUE,29
7664,105,TRUE,29
7617,58,TRUE,29
7686,128,TRUE,29
7664,105,TRUE,29
7664,105,TRUE,29
7663,104,TRUE,29
7664,105,TRUE,29
7687,128,TRUE,29
7664,105,TRUE,29
7617,58,TRUE,29
7686,128,TRUE,29
7664,106,TRUE,29
7687,128,TRUE,29
7665,106,TRUE,29
7685,128,TRUE,29
7617,58,TRUE,29
7617,58,TRUE,29
7687,128,TRUE,29
7687,128,TRUE,29
7687,128,TRUE,29
7685,126,TRUE,29
7617,59,TRUE,29
7686,127,TRUE,29
